,Step,Susceptible,Infected,Recovered,# Home,# Grid,New Infections,Cumulative Infections,Total Contact,Daily New Cases Day 4
0,0,98,2,0,0,100,2,2,0,0
1,1,97,3,0,0,100,1,3,498,0
2,2,96,4,0,0,100,1,4,498,0
3,3,92,8,0,0,100,4,8,498,2
4,4,81,19,0,0,100,11,19,498,1
5,5,71,29,0,0,100,10,29,494,1
6,6,57,41,2,0,100,14,43,498,4
7,7,33,64,3,0,100,24,67,498,11
8,8,19,77,4,0,100,14,81,498,10
9,9,9,83,8,0,100,10,91,500,14
10,10,6,75,19,0,100,3,94,496,24
11,11,3,68,29,0,100,3,97,498,14
12,12,1,56,43,0,100,2,99,498,10
13,13,1,32,67,0,100,0,99,498,3
14,14,1,18,81,0,100,0,99,498,3
15,15,1,8,91,0,100,0,99,500,2
16,16,1,5,94,0,100,0,99,498,0
17,17,1,2,97,0,100,0,99,498,0
18,18,1,0,99,0,100,0,99,496,0
