,Step,Susceptible,Infected,Recovered,# Home,# Grid,New Infections,Cumulative Infections,Total Contact,Daily New Cases Day 4
0,0,998,2,0,0,1000,2,2,0,0
1,1,996,4,0,0,1000,2,4,5000,0
2,2,993,7,0,0,1000,3,7,4998,0
3,3,987,13,0,1,999,6,13,4992,2
4,4,981,19,0,217,783,6,19,3914,2
5,5,973,27,0,211,789,8,27,3944,3
6,6,956,42,2,233,767,17,44,3834,6
7,7,940,56,4,349,651,16,60,3254,6
8,8,918,75,7,354,646,22,82,3228,8
9,9,887,100,13,366,634,31,113,3170,17
10,10,857,124,19,575,425,30,143,2124,16
11,11,823,150,27,594,406,34,177,2028,22
12,12,785,171,44,691,309,38,215,1544,31
13,13,747,193,60,702,298,38,253,1488,30
14,14,700,218,82,690,310,47,300,1550,34
15,15,674,213,113,786,214,26,326,1066,38
16,16,647,210,143,786,214,27,353,1068,38
17,17,624,199,177,780,220,23,376,1098,47
18,18,605,180,215,777,223,19,395,1112,26
19,19,599,148,253,766,234,6,401,1168,27
20,20,596,104,300,749,251,3,404,1254,23
21,21,589,85,326,692,308,7,411,1540,19
22,22,581,66,353,556,444,8,419,2218,6
23,23,576,48,376,381,619,5,424,3094,3
24,24,567,38,395,254,746,9,433,3730,7
25,25,561,38,401,310,690,6,439,3448,8
26,26,556,40,404,370,630,5,444,3150,5
27,27,551,38,411,367,633,5,449,3164,9
28,28,549,32,419,315,685,2,451,3424,6
29,29,546,30,424,368,632,3,454,3160,5
30,30,545,22,433,356,644,1,455,3220,5
31,31,544,17,439,332,668,1,456,3338,2
32,32,544,12,444,219,781,0,456,3904,3
33,33,544,7,449,235,765,0,456,3824,1
34,34,544,5,451,183,817,0,456,4084,1
35,35,544,2,454,171,829,0,456,4144,0
36,36,544,1,455,1,999,0,456,4994,0
37,37,544,0,456,1,999,0,456,4994,0
