,Step,Susceptible,Infected,Recovered,# Home,# Grid,New Infections,Cumulative Infections,Total Contact,Daily New Cases Day 4
0,0,98,2,0,0,100,2,2,0,0
1,1,97,3,0,0,100,1,3,496,0
2,2,96,4,0,0,100,1,4,498,0
3,3,93,7,0,1,99,3,7,492,2
4,4,91,9,0,70,30,2,9,150,1
5,5,85,15,0,60,40,6,15,198,1
6,6,78,20,2,63,37,7,22,184,3
7,7,73,24,3,66,34,5,27,166,2
8,8,68,28,4,73,27,5,32,134,6
9,9,66,27,7,82,18,2,34,88,7
10,10,62,29,9,81,19,4,38,92,5
11,11,60,25,15,83,17,2,40,82,5
12,12,59,19,22,83,17,1,41,82,2
13,13,59,14,27,80,20,0,41,98,4
14,14,57,11,32,69,31,2,43,154,2
15,15,57,9,34,72,28,0,43,140,1
16,16,55,7,38,62,38,2,45,188,0
17,17,49,11,40,1,99,6,51,494,2
18,18,48,11,41,74,26,1,52,128,0
19,19,40,19,41,0,100,8,60,500,2
20,20,40,17,43,75,25,0,60,124,6
21,21,40,17,43,73,27,0,60,134,1
22,22,40,15,45,59,41,0,60,204,8
23,23,40,9,51,78,22,0,60,108,0
24,24,40,8,52,7,93,0,60,464,0
25,25,38,2,60,1,99,2,62,494,0
26,26,37,3,60,0,100,1,63,500,0
27,27,36,4,60,0,100,1,64,498,0
28,28,35,5,60,0,100,1,65,498,2
29,29,35,5,60,72,28,0,65,140,1
30,30,34,6,60,58,42,1,66,208,1
31,31,34,4,62,61,39,0,66,194,1
32,32,34,3,63,56,44,0,66,220,0
33,33,34,2,64,2,98,0,66,490,1
34,34,34,1,65,57,43,0,66,214,0
35,35,34,1,65,1,99,0,66,494,0
36,36,34,0,66,0,100,0,66,498,0
