,Step,Susceptible,Infected,Recovered,# Home,# Grid,New Infections,Cumulative Infections,Total Contact,Daily New Cases Day 4
0,0,98,2,0,0,100,2,2,0,0
1,1,98,2,0,0,100,0,2,500,0
2,2,97,3,0,0,100,1,3,498,0
3,3,93,7,0,1,99,4,7,494,2
4,4,90,10,0,0,100,3,10,500,0
5,5,82,18,0,1,99,8,18,494,1
6,6,63,35,2,4,96,19,37,478,4
7,7,45,53,2,4,96,18,55,480,3
8,8,30,67,3,8,92,15,70,460,8
9,9,15,78,7,21,79,15,85,394,19
10,10,8,82,10,21,79,7,92,394,18
11,11,4,78,18,25,75,4,96,374,15
12,12,3,60,37,36,64,1,97,318,15
13,13,3,42,55,34,66,0,97,330,7
14,14,2,28,70,24,76,1,98,378,4
15,15,2,13,85,15,85,0,98,424,1
16,16,2,6,92,6,94,0,98,470,0
17,17,2,2,96,2,98,0,98,486,1
18,18,2,1,97,1,99,0,98,492,0
19,19,2,1,97,0,100,0,98,498,0
20,20,2,0,98,0,100,0,98,500,0
