,Step,Susceptible,Infected,Recovered,# Home,# Grid,New Infections,Cumulative Infections,Total Contact,Daily New Cases Day 4
0,0,98,2,0,0,100,2,2,0,0
1,1,96,4,0,0,100,2,4,500,0
2,2,94,6,0,0,100,2,6,498,0
3,3,90,10,0,1,99,4,10,494,2
4,4,84,16,0,3,97,6,16,482,2
5,5,80,20,0,5,95,4,20,474,2
6,6,68,30,2,5,95,12,32,474,4
7,7,52,44,4,11,89,16,48,444,6
8,8,34,60,6,8,92,18,66,460,4
9,9,20,70,10,14,86,14,80,428,12
10,10,8,76,16,21,79,12,92,394,16
11,11,3,77,20,28,72,5,97,356,18
12,12,1,67,32,29,71,2,99,352,14
13,13,1,51,48,26,74,0,99,368,12
14,14,1,33,66,27,73,0,99,364,5
15,15,1,19,80,13,87,0,99,434,2
16,16,1,7,92,12,88,0,99,440,0
17,17,1,2,97,5,95,0,99,474,0
18,18,1,0,99,1,99,0,99,494,0
