,Step,Susceptible,Infected,Recovered,# Home,# Grid,New Infections,Cumulative Infections,Total Contact,Daily New Cases Day 4
0,0,98,2,0,0,100,2,2,0,0
1,1,94,6,0,0,100,4,6,498,0
2,2,89,11,0,0,100,5,11,500,0
3,3,80,20,0,0,100,9,20,498,2
4,4,74,26,0,69,31,6,26,154,4
5,5,68,32,0,61,39,6,32,194,5
6,6,63,35,2,68,32,5,37,160,9
7,7,60,34,6,85,15,3,40,72,6
8,8,56,33,11,79,21,4,44,100,6
9,9,52,28,20,84,16,4,48,78,5
10,10,51,23,26,77,23,1,49,112,3
11,11,51,17,32,66,34,0,49,168,4
12,12,51,12,37,66,34,0,49,168,4
13,13,51,9,40,62,38,0,49,188,1
14,14,51,5,44,57,43,0,49,214,0
15,15,50,2,48,1,99,1,50,492,0
16,16,50,1,49,0,100,0,50,500,0
17,17,50,1,49,0,100,0,50,500,0
18,18,50,1,49,0,100,0,50,498,1
19,19,50,1,49,50,50,0,50,250,0
20,20,50,1,49,1,99,0,50,492,0
21,21,50,0,50,1,99,0,50,494,0
