,Step,Susceptible,Infected,Recovered,# Home,# Grid,New Infections,Cumulative Infections,Total Contact,Daily New Cases Day 4
0,0,98,2,0,0,100,2,2,0,0
1,1,95,5,0,0,100,3,5,498,0
2,2,90,10,0,0,100,5,10,500,0
3,3,84,16,0,2,98,6,16,488,2
4,4,75,25,0,3,97,9,25,484,3
5,5,64,36,0,5,95,11,36,474,5
6,6,44,54,2,9,91,20,56,454,6
7,7,22,73,5,10,90,22,78,450,9
8,8,6,84,10,19,81,16,94,404,11
9,9,3,81,16,27,73,3,97,364,20
10,10,1,74,25,32,68,2,99,340,22
11,11,0,64,36,40,60,1,100,300,16
12,12,0,44,56,36,64,0,100,316,3
13,13,0,22,78,26,74,0,100,368,2
14,14,0,6,94,15,85,0,100,424,1
15,15,0,3,97,3,97,0,100,482,0
16,16,0,1,99,1,99,0,100,494,0
17,17,0,0,100,1,99,0,100,492,0
