,Step,Susceptible,Infected,Recovered,# Home,# Grid,New Infections,Cumulative Infections,Total Contact,Daily New Cases Day 4
0,0,98,2,0,0,100,2,2,0,0
1,1,97,3,0,1,99,1,3,494,0
2,2,96,4,0,1,99,1,4,494,0
3,3,93,7,0,1,99,3,7,492,2
4,4,89,11,0,69,31,4,11,152,1
5,5,79,21,0,61,39,10,21,194,1
6,6,72,26,2,58,42,7,28,208,3
7,7,65,32,3,66,34,7,35,168,4
8,8,61,35,4,67,33,4,39,162,10
9,9,60,33,7,82,18,1,40,86,7
10,10,56,33,11,78,22,4,44,106,7
11,11,53,26,21,83,17,3,47,82,4
12,12,53,19,28,70,30,0,47,148,1
13,13,51,14,35,62,38,2,49,188,4
14,14,51,10,39,68,32,0,49,158,3
15,15,51,9,40,65,35,0,49,172,0
16,16,49,7,44,5,95,2,51,470,2
17,17,49,4,47,75,25,0,51,122,0
18,18,46,7,47,3,97,3,54,484,0
19,19,46,5,49,4,96,0,54,478,2
20,20,46,5,49,65,35,0,54,174,0
21,21,46,5,49,3,97,0,54,482,3
22,22,46,3,51,64,36,0,54,178,0
23,23,46,3,51,4,96,0,54,478,0
24,24,45,1,54,1,99,1,55,494,0
25,25,45,1,54,1,99,0,55,494,0
26,26,45,1,54,1,99,0,55,492,0
27,27,45,1,54,2,98,0,55,490,1
28,28,45,1,54,51,49,0,55,244,0
29,29,45,1,54,2,98,0,55,488,0
30,30,45,0,55,2,98,0,55,490,0
