,Step,Susceptible,Infected,Recovered,# Home,# Grid,New Infections,Cumulative Infections,Total Contact,Daily New Cases Day 4
0,0,998,2,0,0,1000,2,2,0,0
1,1,997,3,0,3,997,1,3,4984,0
2,2,996,4,0,2,998,1,4,4988,0
3,3,996,4,0,3,997,0,4,4984,2
4,4,995,5,0,228,772,1,5,3860,1
5,5,994,6,0,190,810,1,6,4050,1
6,6,991,7,2,177,823,3,9,4114,0
7,7,985,12,3,4,996,6,15,4980,1
8,8,978,18,4,182,818,7,22,4090,1
9,9,973,23,4,192,808,5,27,4040,3
10,10,963,32,5,240,760,10,37,3800,6
11,11,953,41,6,358,642,10,47,3210,7
12,12,932,59,9,329,671,21,68,3354,5
13,13,914,71,15,374,626,18,86,3130,10
14,14,898,80,22,460,540,16,102,2700,10
15,15,874,99,27,450,550,24,126,2748,21
16,16,843,120,37,639,361,31,157,1804,18
17,17,804,149,47,561,439,39,196,2194,16
18,18,764,168,68,603,397,40,236,1984,24
19,19,729,185,86,712,288,35,271,1440,31
20,20,695,203,102,705,295,34,305,1474,39
21,21,659,215,126,727,273,36,341,1364,40
22,22,637,206,157,726,274,22,363,1368,35
23,23,618,186,196,794,206,19,382,1028,34
24,24,600,164,236,763,237,18,400,1184,36
25,25,587,142,271,757,243,13,413,1214,22
26,26,576,119,305,714,286,11,424,1430,19
27,27,571,88,341,552,448,5,429,2238,18
28,28,567,70,363,575,425,4,433,2122,13
29,29,563,55,382,520,480,4,437,2400,11
30,30,557,43,400,444,556,6,443,2778,5
31,31,553,34,413,372,628,4,447,3140,4
32,32,550,26,424,294,706,3,450,3528,4
33,33,546,25,429,290,710,4,454,3550,6
34,34,543,24,433,370,630,3,457,3148,4
35,35,539,24,437,287,713,4,461,3564,3
36,36,537,20,443,261,739,2,463,3694,4
37,37,534,19,447,283,717,3,466,3584,3
38,38,528,22,450,247,753,6,472,3762,4
39,39,525,21,454,285,715,3,475,3574,2
40,40,524,19,457,235,765,1,476,3824,3
41,41,521,18,461,250,750,3,479,3750,6
42,42,521,16,463,366,634,0,479,3170,3
43,43,519,15,466,258,742,2,481,3710,1
44,44,518,10,472,192,808,1,482,4040,3
45,45,516,9,475,255,745,2,484,3724,0
46,46,513,11,476,4,996,3,487,4980,2
47,47,510,11,479,226,774,3,490,3870,1
48,48,510,11,479,188,812,0,490,4058,2
49,49,510,9,481,221,779,0,490,3894,3
50,50,509,9,482,252,748,1,491,3738,3
51,51,508,8,484,242,758,1,492,3790,0
52,52,507,6,487,7,993,1,493,4964,0
53,53,504,6,490,4,996,3,496,4978,1
54,54,501,9,490,183,817,3,499,4084,1
55,55,501,9,490,174,826,0,499,4128,1
56,56,499,10,491,180,820,2,501,4100,3
57,57,499,9,492,247,753,0,501,3762,3
58,58,498,9,493,242,758,1,502,3788,0
59,59,495,9,496,5,995,3,505,4974,2
60,60,493,8,499,217,783,2,507,3914,0
61,61,492,9,499,5,995,1,508,4974,1
62,62,490,9,501,181,819,2,510,4094,3
63,63,490,9,501,246,754,0,510,3770,2
64,64,489,9,502,233,767,1,511,3834,1
65,65,488,7,505,183,817,1,512,4082,2
66,66,486,7,507,233,767,2,514,3834,0
67,67,484,8,508,6,994,2,516,4968,1
68,68,484,6,510,178,822,0,516,4110,1
69,69,484,6,510,181,819,0,516,4094,2
70,70,484,5,511,237,763,0,516,3814,2
71,71,484,4,512,223,777,0,516,3884,0
72,72,482,4,514,6,994,2,518,4970,0
73,73,482,2,516,3,997,0,518,4984,0
74,74,482,2,516,2,998,0,518,4990,0
75,75,481,3,516,3,997,1,519,4984,2
76,76,481,3,516,227,773,0,519,3862,0
77,77,480,4,516,3,997,1,520,4984,0
78,78,476,6,518,2,998,4,524,4990,1
79,79,474,8,518,177,823,2,526,4114,0
80,80,470,12,518,2,998,4,530,4990,1
81,81,469,12,519,183,817,1,531,4082,4
82,82,467,14,519,281,719,2,533,3594,2
83,83,465,15,520,229,771,2,535,3854,4
84,84,464,12,524,289,711,1,536,3554,1
85,85,463,11,526,186,814,1,537,4068,2
86,86,463,7,530,229,771,0,537,3852,2
87,87,462,7,531,227,773,1,538,3864,1
88,88,461,6,533,185,815,1,539,4072,1
89,89,460,5,535,186,814,1,540,4068,0
90,90,460,4,536,5,995,0,540,4974,1
91,91,460,3,537,178,822,0,540,4108,1
92,92,460,3,537,178,822,0,540,4110,1
93,93,460,2,538,179,821,0,540,4104,0
94,94,460,1,539,3,997,0,540,4984,0
95,95,460,0,540,1,999,0,540,4994,0
