,Step,Susceptible,Infected,Recovered,# Home,# Grid,New Infections,Cumulative Infections,Total Contact,Daily New Cases Day 4
0,0,98,2,0,0,100,2,2,0,0
1,1,96,4,0,0,100,2,4,500,0
2,2,94,6,0,0,100,2,6,498,0
3,3,92,8,0,0,100,2,8,496,2
4,4,84,16,0,0,100,8,16,500,2
5,5,71,29,0,0,100,13,29,500,2
6,6,53,45,2,0,100,18,47,500,2
7,7,45,51,4,0,100,8,55,498,8
8,8,30,64,6,0,100,15,70,498,13
9,9,17,75,8,0,100,13,83,498,18
10,10,6,78,16,0,100,11,94,498,8
11,11,4,67,29,0,100,2,96,500,15
12,12,1,52,47,0,100,3,99,500,13
13,13,1,44,55,0,100,0,99,498,11
14,14,1,29,70,0,100,0,99,498,2
15,15,0,17,83,0,100,1,100,498,3
16,16,0,6,94,0,100,0,100,500,0
17,17,0,4,96,0,100,0,100,498,0
18,18,0,1,99,0,100,0,100,500,1
19,19,0,1,99,0,100,0,100,498,0
20,20,0,1,99,0,100,0,100,498,0
21,21,0,0,100,0,100,0,100,498,0
