,Step,Susceptible,Infected,Recovered,# Home,# Grid,New Infections,Cumulative Infections,Total Contact,Daily New Cases Day 4
0,0,98,2,0,0,100,2,2,0,0
1,1,96,4,0,0,100,2,4,498,0
2,2,95,5,0,0,100,1,5,498,0
3,3,92,8,0,1,99,3,8,494,2
4,4,86,14,0,1,99,6,14,492,2
5,5,79,21,0,1,99,7,21,494,1
6,6,63,35,2,4,96,16,37,478,3
7,7,51,45,4,8,92,12,49,458,6
8,8,35,60,5,6,94,16,65,468,7
9,9,23,69,8,13,87,12,77,432,16
10,10,12,74,14,22,78,11,88,388,12
11,11,6,73,21,20,80,6,94,398,16
12,12,2,61,37,25,75,4,98,374,12
13,13,1,50,49,31,69,1,99,344,11
14,14,1,34,65,21,79,0,99,394,6
15,15,1,22,77,17,83,0,99,414,4
16,16,1,11,88,14,86,0,99,424,1
17,17,1,5,94,6,94,0,99,464,0
18,18,1,1,98,3,97,0,99,484,0
19,19,1,0,99,1,99,0,99,492,0
