,Step,Susceptible,Infected,Recovered,# Home,# Grid,New Infections,Cumulative Infections,Total Contact,Daily New Cases Day 4
0,0,98,2,0,0,100,2,2,0,0
1,1,95,5,0,0,100,3,5,500,0
2,2,90,10,0,0,100,5,10,500,0
3,3,79,21,0,0,100,11,21,500,2
4,4,69,31,0,0,100,10,31,496,3
5,5,55,45,0,0,100,14,45,498,5
6,6,32,66,2,0,100,23,68,500,11
7,7,18,77,5,0,100,14,82,498,10
8,8,8,82,10,0,100,10,92,498,14
9,9,2,77,21,0,100,6,98,498,23
10,10,1,68,31,0,100,1,99,498,14
11,11,0,55,45,0,100,1,100,498,10
12,12,0,32,68,0,100,0,100,500,6
13,13,0,18,82,0,100,0,100,498,1
14,14,0,8,92,0,100,0,100,500,1
15,15,0,2,98,0,100,0,100,500,0
16,16,0,1,99,0,100,0,100,498,0
17,17,0,0,100,0,100,0,100,498,0
