,Step,Susceptible,Infected,Recovered,# Home,# Grid,New Infections,Cumulative Infections,Total Contact,Daily New Cases Day 4
0,0,98,2,0,0,100,2,2,0,0
1,1,95,5,0,0,100,3,5,500,0
2,2,93,7,0,0,100,2,7,500,0
3,3,90,10,0,0,100,3,10,500,2
4,4,86,14,0,68,32,4,14,158,3
5,5,83,17,0,58,42,3,17,208,2
6,6,76,22,2,68,32,7,24,158,3
7,7,69,26,5,64,36,7,31,178,4
8,8,65,28,7,68,32,4,35,160,3
9,9,61,29,10,70,30,4,39,150,7
10,10,58,28,14,79,21,3,42,102,7
11,11,57,26,17,78,22,1,43,110,4
12,12,56,20,24,74,26,1,44,130,4
13,13,54,15,31,71,29,2,46,142,3
14,14,52,13,35,68,32,2,48,158,1
15,15,52,9,39,55,45,0,48,220,1
16,16,52,6,42,58,42,0,48,208,2
17,17,52,5,43,71,29,0,48,144,2
18,18,52,4,44,73,27,0,48,134,0
19,19,51,3,46,2,98,1,49,488,0
20,20,51,1,48,2,98,0,49,490,0
21,21,51,1,48,0,100,0,49,500,0
22,22,51,1,48,1,99,0,49,494,1
23,23,51,1,48,52,48,0,49,238,0
24,24,51,1,48,1,99,0,49,494,0
25,25,51,0,49,1,99,0,49,492,0
