,Step,Susceptible,Infected,Recovered,# Home,# Grid,New Infections,Cumulative Infections,Total Contact,Daily New Cases Day 4
0,0,98,2,0,0,100,2,2,0,0
1,1,98,2,0,0,100,0,2,498,0
2,2,96,4,0,0,100,2,4,498,0
3,3,94,6,0,1,99,2,6,494,2
4,4,92,8,0,60,40,2,8,198,0
5,5,86,14,0,3,97,6,14,484,2
6,6,81,17,2,61,39,5,19,194,2
7,7,77,21,2,64,36,4,23,176,2
8,8,69,27,4,66,34,8,31,170,6
9,9,65,29,6,62,38,4,35,188,5
10,10,62,30,8,67,33,3,38,164,4
11,11,58,28,14,69,31,4,42,152,8
12,12,54,27,19,76,24,4,46,118,4
13,13,53,24,23,64,36,1,47,180,3
14,14,48,21,31,71,29,5,52,144,4
15,15,46,19,35,64,36,2,54,178,4
16,16,46,16,38,57,43,0,54,214,1
17,17,46,12,42,57,43,0,54,214,5
18,18,46,8,46,65,35,0,54,170,2
19,19,45,8,47,61,39,1,55,194,0
20,20,42,6,52,4,96,3,58,480,0
21,21,41,5,54,0,100,1,59,500,0
22,22,40,6,54,0,100,1,60,500,1
23,23,40,6,54,45,55,0,60,274,3
24,24,40,6,54,53,47,0,60,234,1
25,25,40,5,55,45,55,0,60,274,1
26,26,40,2,58,45,55,0,60,274,0
27,27,40,1,59,1,99,0,60,494,0
28,28,40,0,60,1,99,0,60,494,0
