,Step,Susceptible,Infected,Recovered,# Home,# Grid,New Infections,Cumulative Infections,Total Contact,Daily New Cases Day 4
0,0,98,2,0,0,100,2,2,0,0
1,1,97,3,0,0,100,1,3,498,0
2,2,96,4,0,0,100,1,4,498,0
3,3,96,4,0,2,98,0,4,486,2
4,4,89,11,0,0,100,7,11,500,1
5,5,84,16,0,2,98,5,16,488,1
6,6,70,28,2,2,98,14,30,488,0
7,7,56,41,3,3,97,14,44,484,7
8,8,35,61,4,10,90,21,65,448,5
9,9,21,75,4,16,84,14,79,418,14
10,10,9,80,11,20,80,12,91,398,14
11,11,3,81,16,33,67,6,97,332,21
12,12,2,68,30,27,73,1,98,362,14
13,13,1,55,44,32,68,1,99,340,12
14,14,0,35,65,31,69,1,100,344,6
15,15,0,21,79,17,83,0,100,414,1
16,16,0,9,91,14,86,0,100,428,1
17,17,0,3,97,7,93,0,100,462,1
18,18,0,2,98,2,98,0,100,488,0
19,19,0,1,99,1,99,0,100,494,0
20,20,0,0,100,1,99,0,100,492,0
