,Step,Susceptible,Infected,Recovered,# Home,# Grid,New Infections,Cumulative Infections,Total Contact,Daily New Cases Day 4
0,0,98,2,0,0,100,2,2,0,0
1,1,98,2,0,0,100,0,2,498,0
2,2,96,4,0,0,100,2,4,500,0
3,3,93,7,0,0,100,3,7,498,2
4,4,86,14,0,0,100,7,14,500,0
5,5,68,32,0,0,100,18,32,498,2
6,6,51,47,2,0,100,17,49,500,3
7,7,34,64,2,0,100,17,66,498,7
8,8,20,76,4,0,100,14,80,500,18
9,9,12,81,7,0,100,8,88,498,17
10,10,3,83,14,0,100,9,97,500,17
11,11,1,67,32,0,100,2,99,500,14
12,12,0,51,49,0,100,1,100,500,8
13,13,0,34,66,0,100,0,100,498,9
14,14,0,20,80,0,100,0,100,500,2
15,15,0,12,88,0,100,0,100,498,1
16,16,0,3,97,0,100,0,100,498,0
17,17,0,1,99,0,100,0,100,498,0
18,18,0,0,100,0,100,0,100,498,0
