,Step,Susceptible,Infected,Recovered,# Home,# Grid,New Infections,Cumulative Infections,Total Contact,Daily New Cases Day 4
0,0,98,2,0,0,100,2,2,0,0
1,1,98,2,0,0,100,0,2,500,0
2,2,95,5,0,0,100,3,5,500,0
3,3,90,10,0,0,100,5,10,498,2
4,4,84,16,0,0,100,6,16,500,0
5,5,73,27,0,0,100,11,27,498,3
6,6,60,38,2,0,100,13,40,496,5
7,7,37,61,2,0,100,23,63,498,6
8,8,18,77,5,0,100,19,82,498,11
9,9,7,83,10,0,100,11,93,500,13
10,10,2,82,16,0,100,5,98,498,23
11,11,1,72,27,0,100,1,99,500,19
12,12,1,59,40,0,100,0,99,500,11
13,13,0,37,63,0,100,1,100,498,5
14,14,0,18,82,0,100,0,100,498,1
15,15,0,7,93,0,100,0,100,500,0
16,16,0,2,98,0,100,0,100,500,1
17,17,0,1,99,0,100,0,100,498,0
18,18,0,1,99,0,100,0,100,498,0
19,19,0,0,100,0,100,0,100,498,0
