,Step,Susceptible,Infected,Recovered,# Home,# Grid,New Infections,Cumulative Infections,Total Contact,Daily New Cases Day 4
0,0,98,2,0,0,100,2,2,0,0
1,1,98,2,0,0,100,0,2,500,0
2,2,97,3,0,0,100,1,3,500,0
3,3,92,8,0,0,100,5,8,500,2
4,4,90,10,0,65,35,2,10,174,0
5,5,82,18,0,3,97,8,18,482,1
6,6,80,18,2,55,45,2,20,224,5
7,7,77,21,2,67,33,3,23,162,2
8,8,76,21,3,66,34,1,24,170,8
9,9,73,19,8,78,22,3,27,108,2
10,10,67,23,10,67,33,6,33,164,3
11,11,61,21,18,64,36,6,39,180,1
12,12,55,25,20,56,44,6,45,218,3
13,13,48,29,23,77,23,7,52,114,6
14,14,44,32,24,77,23,4,56,114,6
15,15,44,29,27,76,24,0,56,118,6
16,16,42,25,33,79,21,2,58,102,7
17,17,42,19,39,80,20,0,58,98,4
18,18,42,13,45,68,32,0,58,158,0
19,19,41,7,52,5,95,1,59,472,2
20,20,41,3,56,71,29,0,59,144,0
21,21,40,4,56,2,98,1,60,488,0
22,22,39,3,58,0,100,1,61,500,1
23,23,39,3,58,51,49,0,61,242,0
24,24,39,3,58,1,99,0,61,492,1
25,25,39,2,59,49,51,0,61,254,1
26,26,39,2,59,50,50,0,61,248,0
27,27,38,2,60,1,99,1,62,494,0
28,28,38,1,61,1,99,0,62,494,0
29,29,38,1,61,0,100,0,62,500,0
30,30,38,1,61,0,100,0,62,500,1
31,31,38,1,61,55,45,0,62,224,0
32,32,38,1,61,1,99,0,62,494,0
33,33,38,0,62,1,99,0,62,494,0
