,Step,Susceptible,Infected,Recovered,# Home,# Grid,New Infections,Cumulative Infections,Total Contact,Daily New Cases Day 4
0,0,98,2,0,0,100,2,2,0,0
1,1,97,3,0,0,100,1,3,498,0
2,2,91,9,0,0,100,6,9,500,0
3,3,84,16,0,1,99,7,16,494,2
4,4,74,26,0,2,98,10,26,488,1
5,5,63,37,0,7,93,11,37,464,6
6,6,47,51,2,10,90,16,53,448,7
7,7,31,66,3,15,85,16,69,424,10
8,8,17,74,9,18,82,14,83,408,11
9,9,12,72,16,18,82,5,88,410,16
10,10,7,67,26,31,69,5,93,342,16
11,11,5,58,37,34,66,2,95,326,14
12,12,1,46,53,27,73,4,99,364,5
13,13,1,30,69,21,79,0,99,392,5
14,14,1,16,83,17,83,0,99,412,2
15,15,1,11,88,9,91,0,99,454,4
16,16,1,6,93,4,96,0,99,478,0
17,17,1,4,95,1,99,0,99,492,0
18,18,1,0,99,2,98,0,99,486,0
