,Step,Susceptible,Infected,Recovered,# Home,# Grid,New Infections,Cumulative Infections,Total Contact,Daily New Cases Day 4
0,0,98,2,0,0,100,2,2,0,0
1,1,98,2,0,0,100,0,2,498,0
2,2,97,3,0,0,100,1,3,498,0
3,3,94,6,0,0,100,3,6,500,2
4,4,91,9,0,65,35,3,9,174,0
5,5,82,18,0,2,98,9,18,488,1
6,6,77,21,2,54,46,5,23,228,3
7,7,73,25,2,65,35,4,27,174,3
8,8,66,31,3,70,30,7,34,148,9
9,9,58,36,6,76,24,8,42,120,5
10,10,54,37,9,71,29,4,46,144,4
11,11,49,33,18,72,28,5,51,138,7
12,12,47,30,23,75,25,2,53,124,8
13,13,46,27,27,76,24,1,54,120,4
14,14,46,20,34,71,29,0,54,144,5
15,15,46,12,42,69,31,0,54,154,2
16,16,46,8,46,70,30,0,54,148,1
17,17,46,3,51,59,41,0,54,204,0
18,18,46,1,53,2,98,0,54,486,0
19,19,45,1,54,0,100,1,55,498,0
20,20,45,1,54,0,100,0,55,498,0
21,21,44,2,54,0,100,1,56,500,0
22,22,44,2,54,0,100,0,56,496,1
23,23,44,2,54,53,47,0,56,234,0
24,24,44,2,54,2,98,0,56,488,1
25,25,44,1,55,51,49,0,56,244,0
26,26,44,1,55,1,99,0,56,494,0
27,27,44,0,56,1,99,0,56,494,0
