,Step,Susceptible,Infected,Recovered,# Home,# Grid,New Infections,Cumulative Infections,Total Contact,Daily New Cases Day 4
0,0,98,2,0,0,100,2,2,0,0
1,1,95,5,0,0,100,3,5,500,0
2,2,91,9,0,0,100,4,9,498,0
3,3,82,18,0,0,100,9,18,500,2
4,4,77,23,0,0,100,5,23,500,3
5,5,60,40,0,0,100,17,40,500,4
6,6,40,58,2,0,100,20,60,498,9
7,7,26,69,5,0,100,14,74,500,5
8,8,14,77,9,0,100,12,86,498,17
9,9,7,75,18,0,100,7,93,498,20
10,10,2,75,23,0,100,5,98,500,14
11,11,1,59,40,0,100,1,99,500,12
12,12,0,40,60,0,100,1,100,500,7
13,13,0,26,74,0,100,0,100,500,5
14,14,0,14,86,0,100,0,100,500,1
15,15,0,7,93,0,100,0,100,498,1
16,16,0,2,98,0,100,0,100,500,0
17,17,0,1,99,0,100,0,100,500,0
18,18,0,0,100,0,100,0,100,496,0
