,Step,Susceptible,Infected,Recovered,# Home,# Grid,New Infections,Cumulative Infections,Total Contact,Daily New Cases Day 4
0,0,98,2,0,0,100,2,2,0,0
1,1,95,5,0,1,99,3,5,494,0
2,2,90,10,0,0,100,5,10,496,0
3,3,76,24,0,1,99,14,24,494,2
4,4,74,26,0,71,29,2,26,144,3
5,5,68,32,0,66,34,6,32,168,5
6,6,64,34,2,72,28,4,36,138,14
7,7,62,33,5,83,17,2,38,84,2
8,8,61,29,10,80,20,1,39,96,6
9,9,59,17,24,74,26,2,41,128,4
10,10,57,17,26,63,37,2,43,184,2
11,11,56,12,32,73,27,1,44,134,1
12,12,55,9,36,58,42,1,45,206,2
13,13,55,7,38,69,31,0,45,154,2
14,14,54,7,39,69,31,1,46,154,1
15,15,52,7,41,51,49,2,48,242,1
16,16,52,5,43,53,47,0,48,234,0
17,17,50,6,44,1,99,2,50,494,1
18,18,49,6,45,52,48,1,51,240,2
19,19,49,6,45,74,26,0,51,128,0
20,20,46,8,46,2,98,3,54,488,2
21,21,46,6,48,69,31,0,54,154,1
22,22,45,7,48,55,45,1,55,224,0
23,23,42,8,50,3,97,3,58,480,3
24,24,42,7,51,58,42,0,58,210,0
25,25,38,11,51,3,97,4,62,484,1
26,26,37,9,54,55,45,1,63,224,3
27,27,37,9,54,63,37,0,63,184,0
28,28,36,9,55,7,93,1,64,464,4
29,29,36,6,58,61,39,0,64,192,1
30,30,36,6,58,53,47,0,64,234,0
31,31,35,3,62,4,96,1,65,478,1
32,32,35,2,63,52,48,0,65,238,0
33,33,35,2,63,2,98,0,65,490,0
34,34,35,1,64,2,98,0,65,488,1
35,35,35,1,64,47,53,0,65,262,0
36,36,35,1,64,1,99,0,65,494,0
37,37,35,0,65,1,99,0,65,494,0
