,Step,Susceptible,Infected,Recovered,# Home,# Grid,New Infections,Cumulative Infections,Total Contact,Daily New Cases Day 4
0,0,98,2,0,0,100,2,2,0,0
1,1,98,2,0,0,100,0,2,498,0
2,2,97,3,0,0,100,1,3,498,0
3,3,97,3,0,1,99,0,3,494,2
4,4,95,5,0,2,98,2,5,490,0
5,5,92,8,0,2,98,3,8,488,1
6,6,88,10,2,2,98,4,12,490,0
7,7,82,16,2,1,99,6,18,494,2
8,8,73,24,3,3,97,9,27,484,3
9,9,67,30,3,6,94,6,33,468,4
10,10,56,39,5,7,93,11,44,462,6
11,11,42,50,8,12,88,14,58,438,9
12,12,27,61,12,10,90,15,73,446,6
13,13,18,64,18,14,86,9,82,428,11
14,14,12,61,27,23,77,6,88,384,14
15,15,7,60,33,25,75,5,93,374,15
16,16,5,51,44,24,76,2,95,380,9
17,17,3,39,58,23,77,2,97,384,6
18,18,3,24,73,20,80,0,97,398,5
19,19,3,15,82,13,87,0,97,434,2
20,20,3,9,88,13,87,0,97,432,2
21,21,3,4,93,5,95,0,97,474,0
22,22,2,3,95,1,99,1,98,494,0
23,23,2,1,97,2,98,0,98,490,0
24,24,2,1,97,0,100,0,98,498,0
25,25,2,1,97,1,99,0,98,492,1
26,26,2,1,97,0,100,0,98,498,0
27,27,2,1,97,0,100,0,98,498,0
28,28,2,0,98,0,100,0,98,500,0
