,Step,Susceptible,Infected,Recovered,# Home,# Grid,New Infections,Cumulative Infections,Total Contact,Daily New Cases Day 4
0,0,98,2,0,0,100,2,2,0,0
1,1,96,4,0,0,100,2,4,500,0
2,2,93,7,0,0,100,3,7,500,0
3,3,89,11,0,0,100,4,11,500,2
4,4,82,18,0,0,100,7,18,498,2
5,5,68,32,0,0,100,14,32,498,3
6,6,51,47,2,0,100,17,49,496,4
7,7,31,65,4,0,100,20,69,498,7
8,8,21,72,7,0,100,10,79,498,14
9,9,7,82,11,0,100,14,93,498,17
10,10,2,80,18,0,100,5,98,498,20
11,11,0,68,32,0,100,2,100,498,10
12,12,0,51,49,0,100,0,100,498,14
13,13,0,31,69,0,100,0,100,498,5
14,14,0,21,79,0,100,0,100,498,2
15,15,0,7,93,0,100,0,100,500,0
16,16,0,2,98,0,100,0,100,498,0
17,17,0,0,100,0,100,0,100,498,0
