,Step,Susceptible,Infected,Recovered,# Home,# Grid,New Infections,Cumulative Infections,Total Contact,Daily New Cases Day 4
0,0,98,2,0,0,100,2,2,0,0
1,1,97,3,0,0,100,1,3,498,0
2,2,95,5,0,0,100,2,5,498,0
3,3,88,12,0,0,100,7,12,500,2
4,4,76,24,0,0,100,12,24,500,1
5,5,61,39,0,0,100,15,39,498,2
6,6,44,54,2,0,100,17,56,500,7
7,7,27,70,3,0,100,17,73,498,12
8,8,12,83,5,0,100,15,88,498,15
9,9,7,81,12,0,100,5,93,496,17
10,10,2,74,24,0,100,5,98,498,17
11,11,2,59,39,0,100,0,98,498,15
12,12,0,44,56,0,100,2,100,500,5
13,13,0,27,73,0,100,0,100,500,5
14,14,0,12,88,0,100,0,100,500,0
15,15,0,7,93,0,100,0,100,500,2
16,16,0,2,98,0,100,0,100,498,0
17,17,0,2,98,0,100,0,100,500,0
18,18,0,0,100,0,100,0,100,498,0
